time_s,cell_index,z_center_m,residence_left_s,omega,T_solid_C,omega0,tref_min,slope_min_per_C,dry_mass_kg,water_mass_kg
0.0,13,2.16,320.125,0.11704130896695891,250.0,0.7753499999999997,14.940000000000007,-0.20460000000000003,2.56111400462963,0.33949055438228287
0.0,14,2.32,270.875,0.08044152736750573,250.0,0.7753499999999998,14.940000000000007,-0.2046,2.56111400462963,0.22404222072461222
0.0,15,2.48,221.625,0.06372317814537669,250.0,0.7753499999999998,14.939999999999998,-0.2046,2.56111400462963,0.17430990510301622
0.0,16,2.64,172.375,0.05616654799573372,250.0,0.7753499999999999,14.939999999999998,-0.20459999999999998,2.56111400462963,0.1524092331736147
0.0,17,2.8000000000000003,123.125,0.052766958355434275,250.0,0.7753499999999999,14.940000000000005,-0.2046,2.56111400462963,0.1426704834864926
0.0,18,2.96,73.875,0.05124074447214604,250.0,0.7753499999999998,14.940000000000005,-0.2046000000000001,2.56111400462963,0.13832106249361245
0.0,19,3.12,24.625,0.05055620677276066,250.0,0.77535,14.940000000000008,-0.20460000000000003,2.56111400462963,0.13637480186852824
900.0000000001361,0,0.08,960.375,0.77535,35.33582564330671,0.77535,14.940000000000003,-0.20460000000000003,2.56111400462963,8.839348958333332
900.0000000001361,1,0.24,911.125,0.7753499999422507,51.37773300936571,0.7753500000000082,14.939999999999472,-0.20460000000000117,2.56111400462963,8.839348955402695
900.0000000001361,2,0.4,861.875,0.7753499986577294,68.1602492752574,0.7753500000000103,14.939999999999483,-0.2046000000000018,2.56111400462963,8.839348890216232
900.0000000001361,3,0.56,812.625,0.7753475228354048,85.63373119892962,0.7753500000000098,14.939999999999486,-0.2046000000000015,2.56111400462963,8.83922324940024
900.0000000001361,4,0.72,763.375,0.7737613770068508,100.00041829267099,0.7753500000000111,14.939999999999454,-0.20460000000000161,2.56111400462963,8.75929614791618
900.0000000001361,5,0.88,714.125,0.7668575058924912,102.72419058744737,0.7753500000000112,14.939999999999497,-0.20460000000000136,2.56111400462963,8.424073463805987
900.0000000001361,6,1.04,664.875,0.7588867852978664,106.08217024967858,0.7753500000000118,14.939999999999465,-0.20460000000000164,2.56111400462963,8.0609251390713
