% Model,瞬态固体和流体传热湍流.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 17 2026, 02:21"
% Table,表格 20 - 体平均 1
% Time (s),温度 (K)
492,1050.0634906712369
493,1050.0615951959549
494,1050.0596997206692
495,1050.0578042453858
496,1050.0559087701056
497,1050.0540132948256
498,1050.052117819547
499,1050.0502223442656
500,1050.0483268689843
501,1050.0464313937014
502,1050.044535918423
503,1050.0426404431387
504,1050.0407449678607
505,1050.0388494925776
506,1050.036954017295
507,1050.0350585420144
508,1050.033163066733
509,1050.0312675914502
510,1050.029372116169
511,1050.0274766408884
512,1050.025581165608
513,1050.0236856903275
514,1050.0217902150503
515,1050.0198947397655
516,1050.017999264479
517,1050.0161037892017
518,1050.0142083139235
519,1050.0123128386392
520,1050.0104173633629
521,1050.008521888075
522,1050.006626412794
523,1050.0047309375132
524,1050.0028354622302
525,1050.0009399869539
526,1049.9990445116673
527,1049.9971490363876
528,1049.9952535611046
529,1049.9933580858237
530,1049.991462610544
531,1049.9895671352647
532,1049.9876716599817
533,1049.9857761847002
534,1049.98388070942
535,1049.9819852341395
536,1049.9800897588605
537,1049.9781942835766
538,1049.9762988082969
539,1049.9744033330142
540,1049.9725078577333
541,1049.9706123824478
542,1049.968716907167
543,1049.9668214318897
544,1049.964925956605
545,1049.9630304813286
546,1049.9611350060459
547,1049.9592395307636
548,1049.9573440554805
549,1049.9554485802
550,1049.9535531049191
551,1049.9516576296362
552,1049.9520019030485
553,1049.9529165940976
554,1049.9538312851419
555,1049.9547459761914
556,1049.9556606672425
557,1049.9565753582865
558,1049.9574900493392
559,1049.9584047403844
560,1049.9593194314314
561,1049.9602341224795
562,1049.9611488135317
563,1049.9620635045785
564,1049.962978195626
565,1049.9638928866736
566,1049.9648075777238
567,1049.9657222687736
568,1049.9666369598165
569,1049.9675516508673
570,1049.9684663419132
571,1049.9693810329645
572,1049.9702957240115
573,1049.9712104150576
574,1049.972125106107
575,1049.973039797156
576,1049.9739544882034
577,1049.9748691792504
578,1049.975783870299
579,1049.976698561349
580,1049.977613252392
581,1049.9785279434454
582,1049.9794426344938
583,1049.9803573255406
584,1049.9812720165896
585,1049.9821867076328
586,1049.9831013986818
587,1049.9840160897354
588,1049.9849307807806
589,1049.9858454718274
590,1049.986760162875
591,1049.987674853924
592,1049.988589544972
593,1049.989504236023
594,1049.9904189270685
595,1049.9913336181166
596,1049.992248309167
597,1049.9931630002172
598,1049.994077691262
599,1049.994992382308
600,1049.9959070733573
